Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBIN 1E 0713 176X109X186 P,176,186,109,56578,7,1E
PAPERBOX 1E 0426 176X53X56 P,176,56,53,9737837,54,1E
PAPERBOX 0713 1E 176X109X186 P,176,186,109,1030666,7,1E
QUINT4 UPS 20A BOX,178000,63000,175000,1045137,,keine
PAPERBOX 0426 1E 178X81X67,178,67,81,1856974,,1E
BOX 178X133X78 PP,178,78,133,1120396,,keine
BOX 176 X 109 X 86,176,86,109,158194,18,keine
PAPERBOX 0426 1E 178X115X94,178,94,115,1856975,,1E
PAPERBOX 0426 1E 176X50X33 P,176,33,50,1036716,100,1E
PAPERBOX 0426 1E 176X58X33 P,176,33,58,1036717,85,1E
PAPERBOX 1E 0421 179X72X36 P,179,36,72,1036715,44,1E
BOX 176 X 103 X 41,176,41,103,158193,39,keine
PAPERBOX 0421 1E 179X72X50 BL,179,50,72,9015128,39,1E
CARTON BOX FOR QUINT4 DIODE,179000,60000,178000,1283416,,keine
PAPER BOX 180X62X64,180,64,62,9625553,,keine
QUINT BUFFER 20A BOX,179000,68000,172000,1012263,,keine
QUINT BUFFER 40A BOX,179000,84000,172000,1012265,,keine
QUINT CAP 4KJ BOX,179000,108000,172000,1012117,,keine
QUINT CAP 8KJ BOX,179000,132000,172000,1012261,,keine
PAPERBOX 0421 1E 180X65X35 P,180,35,65,1031170,65,1E
PAPERBOX 0420 1E 180X64X48 BL,180,48,64,61529,,1E
PAPERBOX 0420 1E 180X64X48 BL,180,48,64,,not LHM,1E
PAPERBOX 1E 0426 180X64X48 P,180,48,64,9500080,49,1E
PAPERBOX 0427 1E 180X64X48,180,48,64,1039867,,1E
PAPERBOX 1E 0426 180X83X48 P,180,48,83,9500093,38,1E
PAPERBIN 1E 0426 180X83X48 P,180,48,83,79353,38,1E
PAPERBOX 1E 0713 180X107X51 P,180,51,107,9661487,27,1E
PAPERBOX 1E 0713 180X120X66 P,180,66,120,145222,20,1E
PAPERBOX 1E 0713 180X107X66 P,180,66,107,9661481,18,1E
PP110 DELIVERYBOX 180X140X112,180,112,140,1037911,7,keine
PP100 DELIVERYBOX 180X140X112,180,112,140,1019858,not LHM,keine
PAPERBOX 1E 0420A 241X98X34 BL,241,34,98,189241,28,1E
PAPERBOX 1B 0471 180X103X126 BL,180,126,103,9501458,9,1B
PAPERBOX 0426 1E 180X113X128 BL,180,128,113,1037978,7,1E
PAPERBOX 0443 180X157X128 BL,180,128,157,9001800,7,keine
B1 DELIVERYBOX 180X160X130,180,130,160,1019870,6,keine
PAPERBOX 0713 1C 180X120X140,180,140,120,,6,keine
CORRUGATED PACKAGE FOR FOC R4S4/S8,181000,141000,181000,187541,,keine
PAPERBOX 0420 1E 182X63X43 BL,182,43,63,116604,39,1E
PAPERBOX 1E 0426 182X71X43 P,182,43,71,9500064,45,1E
FALTSCH. 182X132X96,182,96,132,109619,7,keine
PAPERBOX 1B 0471 182X144X126 BL,182,126,144,9501555,6,1B
PAPERBOX 0713 1B 183X133X78 P,183,78,133,1035792,12,1B
PAPERBOX 1B 0713 171X133X84 SE,171,84,133,168712,13,1B
FALTSCH. 183X176X101 1.1E,183,101,176,159086,3,1E
PAPERBOX 1E 0426 184X113X48 P,184,48,113,9500420,25,1E
PAPERBOX-HC-B 6-A-D,184000,76000,118000,9624690,,keine
Paperbox of 179.7 X 85.7 X 23.5 (C-SIS-TCM-HOOD-SET),184000,89000,241000,1035724,,keine
FALTSCH.185X132X 30 1.20EBLANK,185,30,132,9053261,32,keine
PAPERBOX 0423 1E 185X123X37 P,185,37,123,203722,24,1E
PAPERBOX187*130*40MM,187,40,130,1222272,,keine
PAPERBOX 1E 0421 185X175X40 P,185,40,175,9502949,20,1E
PAPERBOX 0423 1E 185X123X47 P,185,47,123,195906,19,1E
PAPER BOX 186X70X62 WITHOUT LOGO,186,62,70,1068080,,keine
PAPERBOX 186X97X72,186,72,97,9635049,,keine
PAPERBOX-HC-B16-A-DT,185000,88000,170000,9624695,,keine
PAPERBOX 1E 0426 182X106X55 P,182,55,106,9500103,22,1E
PAPERBOX 0420 1E 186X78X64 P,186,64,78,203387,26,1E
PAPERBIN 1E 0713 186X96X92 P,186,92,96,56572,14,1E
PAPERBOX 1E 0713 186X96X92 P,186,92,96,9507779,7,1E
PAPERBOX 0426 1E 187X192X29 P,187,29,192,1029316,10,1E
PAPERBOX 1E 0426 460x90x47 P,460,47,90,1030207,,1E
PAPERBOX 0426 1E 187X192X63 P,187,63,192,1029317,4,1E
PAPERBIN 1E 0713 187X135X81 P,187,81,135,56573,12,1E
PAPERBIN 1E 0713 187X135X95 P,187,95,135,52266,6,1E
PAPERBOX 0713 1E 187X135X81 P,187,81,135,1030665,12,1E
PAPERBOX 0713 1E 187X135X95 P,187,95,135,1030661,7,1E
FALTSCH. 195X140X 47 BLANK,195,47,140,9634613,,keine
FALTSCH. 189X143X 47 BLANK,189,47,143,9621707,,keine
FALTSCH. 189X143X 47,189,47,143,9621985,,keine
PAPER BOX 186X70X62,186,62,70,182351,26,keine
FALTSCH. 189X127X 77 1.1EBLANK,189,77,127,159319,12,keine
PAPERBOX 1E 0426 189X127X77 BL,189,77,127,9500750,12,1E
KARTON A 189X189X88MM F201 WEST 1107 B,189,88,189,1025493,4,keine
Paperbox of 171.3 X 132.7 X 13 (1L+1R),189000,150000,146000,1035728,,keine
PAPERBOX 0713 1E 190X180X44 BL,190,44,180,1039876,,1E
PAPERBOX 0426 1B 190X178X45 P,190,45,178,1029176,6,1B
PAPERBOX 1E 0426 190X64X48 P,190,48,64,9500268,44,1E
PAPERBOX 0427 1B 204X177X59 BL,204,59,177,1288768,,1B
PAPERBOX-HC-B 6-I-DT,190000,76000,67000,9624691,,keine
PAPERBOX 1E 0713 104X109X86 P,104,86,109,9501322,32,1E
VERSANDKARTON V1 (190X190X 95),190,95,190,9631920,2,keine
PAPERBOX 0426 1E 190X52X20 P,190,20,52,1033147,98,1E
PAPERBOX 1E 0713 191X141X74 BL,191,74,141,9007338,12,1E
PAPERBOX 0426 1E 190X65X78 P,190,78,65,9501759,26,1E
PAPERBOX 1E 0426 192X151X30 P,192,30,151,141069,30,1E
PAPERBOX 0416 1E 192X122X85 P,192,85,122,1025450,12,1E
PAPERBOX 0713 1B 192X385X230 BL,192,230,385,9663626,not LHM,1B
PAPERBOX 1E 0421 195X128X24 P,195,24,128,9500802,38,1E
PAPERBOX 0420 1E 193X128X24 WH,193,24,128,1008139,36,1E
FALTSCH. 195X140X 47,195,47,140,9624626,,keine
PAPERBOX 0427 1B 195X176X88,195,88,176,1033039,3,1B
PAPERBOX 198X100X70,198,70,100,9624809,,keine
PAPERBOX 198X100X58,198,58,100,9624810,,keine
PAPERBOX 0201 1A 200X200X60 BL,200,60,200,198504,4,keine
PAPERBOX 0201 1E 200X150X117BL,200,117,150,186009,6,1E
DELIVERYBOX 0201 1B 200X150X126,200,126,150,1040941,,1B
PAPERBOX 205X137X55-BLANK,205,55,137,9624773,,keine
PAPERBOX FOR ISO MCR/SSR/RELAY,202000,283000,315000,1092769,,keine
PAPERBOX 1E 0400 200X190X9 P,200,9,190,167457,24,1E
PAPER BOX 203X116X81.5,203,81,116,1540471,,keine
PAPERBOX 1E 0713 203X108X94 BL,203,94,108,9636025,7,1E
FALTSCH.203X297X115 1.1E,203,115,297,159541,2,1E
"PAPERBOX 0426 1E 206X161X23,5",206,23,161,1032854,32,1E
PAPERBOX 1E 0426 204X87X38 P,204,38,87,9500488,36,1E
PAPERBOX 0713 1B 206X195X70 BL,206,70,195,199186,,1B
QUINT4-CHARGER BOX,204000,75000,196000,1096693,,keine
PAPERBOX 0713 1E 204X146X135,204,135,146,1040925,,1E
PAPERBOX 0427 1E 205X205X29 P,205,29,205,1033096,10,1E
PAPERBOX 1E 0426 205X112X54 P,205,54,112,9500129,21,1E
PAPERBOX 0420 1E 205X122X54 BL,205,54,122,62230,21,1E
PAPERBOX 205X112X54 BL,205,54,112,116602,21,keine
PAPER BOX 206 X 118 X 108,206,108,118,9620290,,keine
FALTSCH. 205X193X111 1.1E,205,111,193,159536,2,1E
PAPERBOX 1E 0713 205X175X120 P,205,120,175,9688818,6,1E
PAPERBOX 0423 1E 206X185X45 P,206,45,185,9624836,,1E
PAPER 220X215X58,220,58,215,172500,,keine
Paperbox of 205 X 43.3 X 32.3 (PU / CM / IO cover),207000,69000,221000,1035723,,keine
Paperboxof 204.3 X 23.2 X 100 (ECB hood HOUSING),208000,116000,246000,1035727,,keine
PAPERBOX 1E 0426A 209X95X47 P,209,47,95,160922,23,1E
PAPERBOX 1E 0426A 209X95X47 SE,209,47,95,160924,21,1E
PAPERBOX 211*205*55 3,211,55,205,9636024,,keine
PAPERBOX 1E 0426 209X165X147 P,209,147,165,9500514,4,1E
CARTONBOX EM-CPS-PS 3AC/24DC/5,210000,49000,260000,1073979,,keine
PAPERBOX 0427 1E 210X105X62 S,210,62,105,1031256,19,1E
PAPERBOX 0420 1E 212X85X40,212,40,85,179204,36,1E
PAPERBOX 0471 1E 242X142X50 P,242,50,142,58041,14,1E
PAPERBOX 0427 1B 268X228X149 BL,268,149,228,1037362,2,1B
PAPERB.0215 2EB 212X212X478 BL,212,478,212,156596,not LHM,keine
FALTSCH. 213X112X 47 BLANK,213,47,112,9621613,,keine
PAPERBOX 1E 0426 213X62X46 P,213,46,62,9500705,40,1E
FALTSCH. 213X112X 47,213,47,112,9621943,,keine
PAPERBOX 1B 0426 213X61X62 BL,213,62,61,9500187,24,1B
PAPERBOX 1B 0426 213X61X62 P,213,62,61,1038544,24,1B
PAPERBOX 0423 1E 216X72X49 P,216,49,72,9604627,,1E
PAPER BOX 216 X 92 X 49,216,49,92,9620973,,keine
PAPERBOX 0713 1E 216X100X75,216,75,100,1281570,14,1E
PAPERBOX 0421 1E 215X78X42 P,215,42,78,10103386,,1E
PAPERBOX 1E 0426 215X83X50 P,215,50,83,9500349,28,1E
PAPERBOX 1E 0426 215X103X50 P,215,50,103,9500352,21,1E
PAPERBOX 0423 1E 215X103X50 BL,215,50,103,61538,21,1E
PAPERBOX 0423 1E 215X183X62 P,215,62,183,197705,,1E
PAPERBOX 0427 1E 215X215X66 P,215,66,215,1033106,4,1E
PAPERBOX 0426 1E 215X78X78 S,215,78,78,143335,18,1E
PAPERBOX 0423 1E 215X78X78 BL,215,78,78,9501869,18,1E
PAPERBOX 0423 1E 215X78X78,215,78,78,176470,,1E
PAPERBOX 0201 1B 215X160X80,215,80,160,1041149,,1B
PAPERBOX 0423 1E 216X112X49 P,216,49,112,9604038,23,1E
PAPERBOX-UIK35-4C,216000,49000,72000,9624655,28,keine
PAPERBOX 0427 1E 216X72X49,216,49,72,1039302,28,1E
PAPERBOX 0427 1E 216X132X57 P,216,57,132,9604766,13,1E
FALTSCH. 216X79X78 1.1E,216,78,79,161293,18,1E
PAPERBOX 0427 1E 217X62X32 BL,217,32,62,1021918,57,1E
PAPER BOX 220X65X52,220,52,65,172501,33,keine
PAPERBOX 0421 1E 218X55X53 BL,218,53,55,1036845,39,1E
PAPERBOX 0426 1B 219X60X54 BL,219,54,60,1035797,33,1B
PAPERBOX 0427 1E 220X220X31 P,220,31,220,1033103,10,1E
PAPERBOX 0427 1E 220X220X57 P,220,57,220,1033104,6,1E
POST CARTON 225X130X80 BLANK,225,80,130,169405,,keine
PAPER BOX 220X175X87,220,87,175,152369,5,keine
UNMARKED CARTON 225X130X100,225,100,130,147312,,keine
PAPERBOX 0713 1E 220X185X110 P,220,110,185,1036028,2,1E
FALTSCH. 220X175X120,220,120,175,9688821,,keine
PAPERBOX 1E 0426 222X91X53 P,222,53,91,9500116,21,1E
PAPERBOX 0426 1E 170X105X62 S,170,62,105,1019857,,1E
PAPERBOX 0713 1B 224X200X68 BL,224,68,200,198736,,1B
PAPER BOX 225X135X84,225,84,135,128359,,keine
POST CARTON 225X130X100,225,100,130,9620070,,keine
PAPERBOX 1E 0713 223X113X94 BL,223,94,113,9636027,7,1E
PAPERBOX 0426 1E 225X213X47 P,225,47,213,1006413,CN,1E
PAPERBOX 1B 0426 224X61X61 P,224,61,61,9502910,22,1B
PAPERBOX 0427 1B 225X165X101,225,101,165,1039927,,1B
PAPERBOX 0201 1B 225X215X190,225,190,215,1040079,,1B
PAPERBOX 0427 1B 240X180X66 BL,240,66,180,1033175,4,1B
PAPEREGB 1E 0713 226X113X69 BL,226,69,113,9002411,12,1E
PAPERBOX 0426 1B 200X169X105 BL,200,105,169,1036038,7,1B
PAPER BOX  227X172X60MM,227,60,172,194645,,keine
PAPERBOX 0420 1E 227X77X64 P,227,64,77,203384,22,1E
PAPERBOX 0420 1E 227X77X64 BL,227,64,77,1021759,22,1E
FALTSCH. 228X132X 47 BLANK,228,47,132,9621671,,keine
FALTSCH. 228X132X 47,228,47,132,9621930,,keine
PAPERBOX 230*80*65  4,230,65,80,9636026,,keine
PAPERBOX 0426 1E 228X200X110,228,110,200,1038797,2,1E
PAPERBOX 0427 1E 228X99X114 BL,228,114,99,1035010,7,1E
PAPERBOX 1E 0426 229X104X17 P,229,17,104,9501966,57,1E
PAPERBOX 0426 1E 229X153X30 BL,229,30,153,1030466,22,1E
PAPERBOX 0201 1C 229X229X51 BL,229,51,229,1036532,6,keine
PAPERBOX 0427 1B 240X180X93 BL,240,93,180,1033176,2,1B
PAPER BOX 231X131X 66,231,66,131,9624644,,keine
FALTSH. 231X131X 66 BLANK,231,66,131,9624650,,keine
PAPERBOX 0427 1B 244X215X109 BL,244,109,215,1037391,2,1B
PAPERBOX 1E 0713 231X101X50 P,231,50,101,130469,21,1E
PAPERBOX 1E 0713 231X101X108 P,231,108,101,130470,7,1E
PAPERBOX 0420 1E 232X105X40,232,40,105,179205,28,1E
FALTSCH. 232X132X 47 BLANK,232,47,132,9621600,,keine
FALTSCH. 232X132X 47,232,47,132,9621927,,keine
PAPERBOX 1E 0426 232X152X58 P,232,58,152,9500132,11,1E
PAPERBOX 0420 1E 205X122X54 BL,205,54,122,62231,12,1E
PAPERBOX 1E 0427 232X176X102BL,232,102,176,152109,7,1E
PAPERBOX 234X288X110,234,110,288,139168,2,keine
PAPERBOX 0713 1B 232X190X155 BL,232,155,190,1037078,2,1B
PAPERBOX 0713 1B 232X180X200 BL,232,200,180,1037394,not LHM,1B
PAPERBOX 0713 1B 232X180X265 BL,232,265,180,1037395,not LHM,1B
PAPER BOX 232X112X80,232,80,112,1540474,,keine
FALTSCH. 233X177X102 1.1E,233,102,177,159088,3,1E
PAPERBOX 0713 GD2 235X125X72 P,235,72,125,198947,9,keine
PAPERBOX 0427 1E 237X252X90 SE,237,90,252,1034938,2,1E
CORRUGATED PACKAGE FOR UM-DB37F/PCM/CS1332,236000,166000,196000,187542,,keine
FALTSCH.4257  237X 70X29MM,237,29,70,60005,49,keine
FALTSCH.4252  237X190X29MM,237,29,190,60002,10,keine
PAPER BOX 239X260X95,239,95,260,152370,,keine
PAPERBOX 0426 1E 238X68X49 S,238,49,68,143327,32,1E
PAPERBOX 1E 0426 238X68X49 P,238,49,68,9500271,32,1E
PAPERBOX 0422 1B 238X230X50 BL,238,50,230,9001824,,1B
OUTER CARTONBOX 243X212X179,243,179,212,1130368,,keine
PAPERBOX 0421 1E 240X103X52 BL,240,52,103,1036489,21,1E
Paperbox of 203 X 23.2 X 53.6?C-SIS-EB-M-COVER-SET cover--2 parts),240000,57000,209000,1035731,,keine
PAPERBOX 0427 1E 240X142X62 BL,240,62,142,159176,11,1E
PAPERBOX 0421 1B 240X195X65 BL MERCH,240,65,195,1038759,4,1B
PAPERBOX FIX 1B 286X225X120 BL,286,120,225,1020799,2,1B
PAPERBOX 0421 1E 240X76X75 P,240,75,76,1010789,16,1E
PAPERBOX 1E 0420A 241X98X34 P,241,34,98,189240,28,1E
PAPERBOX 1E 0420A 241X98X34 SE,241,34,98,189242,35,1E
PAPERBOX 0423 1E 241X73X50 P,241,50,73,1010181,28,1E
Paper box 241*70.5*56.5mm,241000,56500,74500,9604643,,keine
PAPERBOX 0423 1E 242X192X22 BL,242,22,192,195649,12,1E
PAPERBOX 241X84X48,241,48,84,9624838,,keine
CARTON 235X170X65,235,65,170,176239,,keine
PAPERBOX 1B 0471 242X128X115 BL,242,115,128,9000711,4,1B
PAPERBOX 240*90*30 34,240,30,90,9636029,,keine
PAPERBOX 1E 0421 244X80X57 P,244,57,80,78007,24,1E
PAPER BOX 242 X 72 X 68,242,68,72,9604096,,keine
PAPERBOX 0426 1B 244X218X149,244,149,218,1039961,,1B
PAPERBOX 247X54X38,247,38,54,9624834,,keine
PAPERBOX 245X128X72,245,72,128,9624860,,keine
"PAPERBOX 0426 1E 248X210X23,5 P",248,23,210,1032856,12,1E
PAPERBOX 247X44X40,247,40,44,9624839,,keine
PAPERBOX 0713 1E 247X135X95 P,247,95,135,1030669,,1E
PACKAGING CARTON FOR 40A,246000,125000,176000,1110143,,keine
PAPERBOX 1E 0420 247X64X46 BL,247,46,64,61540,30,1E
PAPERBOX 0420 1E 247X64X46 P,247,46,64,46003,35,1E
PAPERBIN 1E 0713 247X135X81 P,247,81,135,56576,8,1E
PAPERBOX 1E 0713 247X135X75 BL,247,75,135,94920,8,1E
PAPERBOX 1E 0713 247X96X92 P,247,92,96,9507766,7,1E
PAPERBOX 0423 1E 264X103X52 BL,264,52,103,1026654,18,1E
PAPERBIN 1E 0713 247X96X92 P,247,92,96,56574,14,1E
PAPERBOX 1E 0713 247X135X95 P,247,95,135,9677955,7,1E
PAPERBOX 0201247X192X187 BL,201247,187,192,201609,not LHM,keine
CARTON BOX FOR TRIO2 10A,248000,55000,182000,202756,,keine
PAPERBOX 0427 1E 247X135X81 BL,247,81,135,1033638,8,1E
PAPERBOX 0201 2BC 248X218X210,248,210,218,1874342,,keine
PAPERBOX 0426 1E 249X147X81 BL,249,81,147,1037949,8,1E
"PAPER BOX 250X171,5X25",250000,23000,169500,9625404,,keine
PAPERBOX 0423 1E 250X124X31 P,250,31,124,1025379,26,1E
PAPERBOX 250*92*70 RIF 2 SC,250,70,92,,,keine
CORRUGATED PACKAGE 266X205X92 FOR 135FOC,266,92,205,1225148,,keine
PAPERBOX ESD 0426 1E 250X191X110 BL,250,110,191,1029859,2,1E
PAPERB.0201 2EB 250X130X123 BL,250,123,130,125355,4,keine
PAPERBOX 0471 1E 250X241X147 BL,250,147,241,1003172,2,1E
PAPERBOX 0201 1B 250X220X170 S,250,170,220,1040141,,1B
PAPERBOX 0471 1E 251X212X51 BL,251,51,212,1021955,6,1E
PAPERBOX 0427 1B 240X180X118 BL,240,118,180,1034608,2,1B
PAPERBOX 0427 1B 263X208X111 BL,263,111,208,1036433,2,1B
PAPERBOX 0423 1E 252X127X60 P,252,60,127,1025378,10,1E
PAPERBOX 0713 1E 252X156X68,252,68,156,1041199,,1E
PAPERBOX 253X166X81,253,81,166,9624817,,keine
PAPERBOX 0413 1E 253X166X85 P,253,85,166,1037203,8,1E
PAPERBOX 1E 0426 253X189X79 BL,253,79,189,9500763,4,1E
PAPERBOX 1E 0426 253X163X79 BL,253,79,163,9500433,8,1E
PAPERBOX 0471 1E 253X79X113 P,253,113,79,1017189,12,1E
PAPERBOX 0471 1E 253X101X135 P,253,135,101,1017185,6,1E
PAPERBOX 0471 1E 253X124X135 P,253,135,124,1017186,4,1E
TRIO UPS 20A BOX,254000,103000,175000,1078794,,keine
PAPERBOX 1E 0426 255X87X52 BL,255,52,87,61541,24,1E
PAPERBOX 1E 0426 255X87X52 P,255,52,87,9500307,24,1E
PAPERBOX 0426 1E 255X87X52 S,255,52,87,143328,24,1E
PAPERBOX 0427 1B 242X128X105 P,242,105,128,155478,6,1B
FALTSCH. 255 X 106 X 110,255,110,106,162613,5,keine
PAPERBOX 0421 1B 269X180X95 BL,269,95,180,187284,,1B
PAPERBOX 258X188X110,258,110,188,139162,2,keine
FALTSCH. 256X177X107 1.1E,256,107,177,159016,3,1E
PAPERBOX 0426 1E 257X135X38 P,257,38,135,1037385,17,1E
PAPERBOX 0413 1E 257X144X32 P,257,32,144,1037232,,1E
PAPERBOX 0421 1E 257X56X47 P,257,47,56,1036165,39,1E
PAPER BOX 258X131X56MM,258,56,131,199752,,keine
PAPERBOX 1E 0426A 259X95X47 P,259,47,95,160925,20,1E
PAPERBOX 1E 0426A 259X95X47 SE,259,47,95,160927,20,1E
PAPERBOX 0421 1E 260X33X25 BL,260,25,33,119496,114,1E
PAPERBOX 0423 1E 260X105X30 WH,260,30,105,1026819,30,1E
PAPERBOX 0423 1E 260X105X35,260,35,105,1041029,,1E
"PAPERBOX 0420 1E 260X85X54,5 P",260,54,85,1007130,24,1E
PAPERBOX 1E 0426 260X101X80 BL,260,80,101,9500721,12,1E
FALTSCH. 260X101X 80 1.1EBLAWH,260,80,101,9738881,,keine
PAPERBOX 0426 1E 260X100X92 P,260,92,100,1039279,7,1E
PAPERBOX 0201 1C 260X159X127,260,127,159,1887412,,keine
PAPERBOX 0201 2BC 260X160X160 BL,260,160,160,1020557,3,keine
PAPERBOX 0421 1E 261X70X47 P,261,47,70,1034219,27,1E
PAPERBOX 1E 0426 261X76X75 BL,261,75,76,9500190,16,1E
PAPERBOX 0421 1E 262X72X38 P,262,38,72,9501791,36,1E
PAPERBOX 0421 1E 262X88X38 BL,262,38,88,61577,32,1E
PAPERBOX 0421 1E 262X88X38 P,262,38,88,9501801,29,1E
PAPERBOX 0420 1E 262X103X59 BL,262,59,103,1007128,17,1E
PAPERBOX 0420 1E 262X103X59 P,262,59,103,1007129,17,1E
PAPERBOX 1E 0427 262X55X36 BL,262,36,55,9796726,51,1E
PAPERBOX 1E 0421 262X72X38 BL,262,38,72,9796739,36,1E
PAPERBOX 1E 0402A 263X49X47 P,263,47,49,166981,36,1E
PAPERBOX 1E 0420A 263X49X47 SE,263,47,49,171579,42,1E
PAPERBOX 1E 0420A 263X58X49 P,263,49,58,165827,32,1E
PAPERBOX 1E 0420A 263X58X49 SE,263,49,58,165829,30,1E
PAPERBOX 1E 0420A 263X66X49 P,263,49,66,166984,24,1E
PAPERBOX 1E 0420A 263X94X52 P,263,52,94,182356,18,1E
PAPERBOX 263X105X82,263,82,105,164959,12,keine
PAPERBOX 0413 1E 263X149X32 P,263,32,149,1037229,,1E
PAPERBOX 0426 1E 264X69X48 P,264,48,69,1039273,32,1E
PAPERBOX 0421 1E 289X62X52 P,289,52,62,1031095,30,1E
PAPERBOX 0423 1E 264X103X52 P,264,52,103,1026653,18,1E
PAPERBOX 1E 0426 265X157X20 P,265,20,157,124064,32,1E
PAPERBOX 1E 0426 265X157X37 P,265,37,157,124063,16,1E
PAPERBOX 0426 1E 265X75X49 P,265,49,75,1039274,32,1E
PAPERBOX 1E 0421 265X160X64 P,265,64,160,9500145,10,1E
PAPERBOX 0420 1E 265X160X64 BL,265,64,160,61578,8,1E
PAPERBOX 1E 0421 265X145X75 P,265,75,145,1036403,9,1E
PAPERBOX 1E 0426 265X93X91 BL,265,91,93,9501830,6,1E
PAPERBOX 0427 1B 265X110X171 BL,265,171,110,1034076,5,1B
PAPERBOX 0423 1E 266X50X35,266,35,50,1039433,53,1E
PAPERBOX 0423 1E 266X154X38 BL,266,38,154,1007127,,1E
PAPERBOX 0421 1E 266X60X40 BL,266,40,60,61580,40,1E
PAPERBOX 0421 1E 266X60X42 P,266,42,60,6286476,38,1E
PAPERBOX 0421 1E 266X84X42 S,266,42,84,143338,30,1E
PAPERBOX 0421 1E 266X60X42 S,266,42,60,143323,,1E
PAPERBOX 0426 1E 266X78X53 S,266,53,78,143324,24,1E
PAPERBOX 0426 1E 266X78X53 P,266,53,78,6286478,24,1E
PAPERBOX 1E 0420A 266X70X65 P,266,65,70,165821,20,1E
PAPERBOX 1E 0420A 266X70X65 SE,266,65,70,165823,20,1E
PAPERBOX 1E 0713 266X109X86 P,266,86,109,9501270,12,1E
PAPERBIN 1E 0713 266X109X86 P,266,86,109,56579,12,1E
PAPERBOX 0713 1E 266X109X86 BL,266,86,109,1037330,12,1E
PAPERBOX 1E 0420 266X153X91 P,266,91,153,174917,6,1E
CORRUGATED PACKAGE FOR PACCP,266000,111000,156000,187489,,keine
PAPERBOX 1E 0713 266X109X177 P,266,177,109,182018,6,1E
PAPERBOX 1E 0713 266X109X188 P,266,188,109,9501254,2,1E
PAPERBOX 1E 0426 265X157X20 P,265,20,157,1037993,28,1E
PAPERBOX 0701 1E 269X60X41 P,269,41,60,1018790,44,1E
PAPERBOX 1E 0426 265X157X37 P,265,37,157,1036879,17,1E
FALTSCH. 267X93X92 1.1E,267,92,93,161290,6,1E
PAPERBOX 0423 1E 268X171X19 P,268,19,171,1025732,33,1E
PAPERBOX 0423 1E 268X171X35 P,268,35,171,1025733,17,1E
FALTSCH. 269X169X 67 UK 35,269,67,169,9634147,,keine
PAPERBOX 0426 1B 268X228X149,268,149,228,1040033,,1B
PAPERBOX 0426 1E 410X52X55 P,410,55,52,1017251,18,1E
PAPERBOX 1E 0426 269X172X80 S,269,80,172,9057051,8,1E
PAPERBOX 0426 1E 269X203X159 BL,269,159,203,1037953,2,1E
PAPERBOX 0713 1B 270X170X89 S,270,89,170,143333,6,1B
PAPERBOX 1B 0703 270X170X89 P,270,89,170,9500695,6,1B
PAPERBOX 0713 1B 270X170X89 BL,270,89,170,61582,4,1B
PAPER BOX 270X288X110,270,110,288,152372,1,keine
B2 DELIVERYBOX 270X200X140,270,140,200,1019871,2,keine
PAPERBOX 1B 0703 270X170X188BL,270,188,170,9500983,2,1B
PAPERBOX 0427 1E 271X64X54 BL,271,54,64,61583,30,1E
PAPERBOX 1E 0426 271X64X54 P,271,54,64,9500297,30,1E
CARTON BOX 325X220X173,325,173,220,172207,,keine
PAPERBOX 1E 0420 273X143X86,273,86,143,176183,7,1E
PAPER BOX 275X188X104,275,104,188,152371,2,keine
PAPER BOX 278X173X70,278,70,173,9625162,,keine
PAPERBOX 0713 1B 274X172X170 BL,274,170,172,1011913,3,1B
PAPERBOX 1B 0713 274X172X170 BL,274,170,172,,4,1B
PAPERBOX 0423 1E 273X188X33 P,273,33,188,1037387,8,1E
PAERBOX 0426 1E 275X102X65 BL,275,65,102,1037955,16,1E
V100 DELIVERYBOX 275X185X66,275,66,185,1038161,4,keine
PAPERBOX 276X109X86,276,86,109,9624819,,keine
V200 DELIVERYBOX 275X185X102,275,102,185,194005,not LHM,keine
DELIVERYBOX DANGEROUS GOODS-2 290X210X310,290,310,210,116291,,keine
FALTSCH. 276X136X 75 1.1E,276,75,136,124235,,1E
PAPERBOX 1E 0426 276X136X75 BL,276,75,136,9500776,7,1E
FALTSCH. 276X232X108 1.1E,276,108,232,159538,2,1E
PAPERBOX 1E 0713 277X175X61 P,277,61,175,59785,10,1E
PAPER BOX 278X162X55MM,278,55,162,189175,,keine
"CARTON BOX FOR UPS1,3AH",278000,86000,180000,187136,,keine
PAPERBOX 0427 1B 566X386X80 BL,566,80,386,1004261,not LHM,1B
PAPER BOX 280 X 92 X 87,280,87,92,9604960,,keine
C-ES-FTB-SD-120 CARTON,279000,89000,76000,1306238,,keine
CARTON BOX FOR EM-CPS,279000,91000,266000,1165126,,keine
PAPERBOX 0421 1B 279X241X152 BL,279,152,241,1036090,2,1B
FALTSCH. 280X 57X 47,280,47,57,9621888,,keine
PAPERBOX 1E 0421 280X210X79 BL,280,79,210,9500941,4,1E
PAPERBOX 1E 0426 276X266X75 BL,276,75,266,9500789,4,1E
PAPERBOX 1E 0713 280X135X95 P,280,95,135,141080,4,1E
PAPERBOX 0426 1B 280X242X136 BL,280,136,242,1037350,2,1B
PAPERBOX 0713 2E 280X155X220 WH,280,220,155,1020844,2,keine
PAPERBOX 281X164X74,281,74,164,138981,,keine
