Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBOX 0423 1E 104X54X28 P,104,28,54,9604261,,1E
PAPERBOX 1E 0713 58X106X78 BL,58,78,106,122893,54,1E
PAPERBOX 1E 0713 106X58X78 P,106,78,58,9051691,56,1E
FALTSCH. 4TE  104X 74X 72 WH,104,72,74,9661773,44,keine
PAPERBOX 1E 0713 106X76X78 BL,106,78,76,9053381,42,1E
PAPERBOX 0713 1B 106X106X115 S,106,115,106,1026014,12,1B
PAPERBOX 0427 1E 107X94X10,107,10,94,1905414,,1E
PAPERBOX 0227 1E 108X45X30 BL,108,30,45,1035756,150,1E
PAPERBOX 0423 1E 108X45X30,108,30,45,1041162,135,1E
PAPERBOX 1E 0713 109X73X86 P,109,86,73,9501348,42,1E
PAPERBOX 0713 1E 108X90X62 BL,108,62,90,1035755,40,1E
PAPER BOX 152X108X124,152,124,108,172197,,keine
CARTON BOX 105X73X120,105,120,73,176242,26,keine
BOX 104 X 103 X 41,104,41,103,158195,54,keine
PAPERBOX 0713 1E 73X109X55 P,73,55,109,1034177,66,1E
PAPERBOX 1E 0713 73X109X55 P,73,55,109,9501380,63,1E
PAPERBIN 1E 0713 73X109X55 P,73,55,109,56555,63,1E
PAPERBIN 1E 0713 104X109X86 P,104,86,109,56562,30,1E
PAPERBOX 0713 1E 104X109X86 P,104,86,109,1034176,30,1E
PAPERBOX 1E 0713 110X73X40 P,110,40,73,130861,63,1E
PAPERBOX 1E 0713 110X73X40 P,110,40,73,140402,63,1E
PAPERBOX 0713 1E 110X80X40 WH,110,40,80,1002775,73,1E
PAPERBOX 0713 1E 109X97X53 BL,109,53,97,1031739,45,1E
FALTSCH. 122X 79X 57MM,122,57,79,121004,,keine
BOX 109 X 73 X 55,109,55,73,158192,63,keine
PAPEREGB 1E 0400 112X95X10 BL,112,10,95,9031593,198,1E
PAPER BOX 112 X 85 X 46,112,46,85,9604630,not LHM,keine
PAPERBOX 1E 0426 113X54X24 P,113,24,54,9500381,171,1E
PAPERBOX 1E 0426 113X104X24 P,113,24,104,9500404,88,1E
PAPERBOX 0426 1E 113X100X27 P,113,27,100,9501733,88,1E
PAPERBOX 1E 0426 113X117X27 P,113,27,117,9042845,73,1E
FALTSCH. 113X117X 27 BLANK,113,27,117,9042844,73,keine
PAPERBOX 1E 0426 113X100X36 P,113,36,100,9051942,60,1E
PAPERBOX 0426 1E 113X117X36 P,113,36,117,9051941,52,1E
PAPERBOX 0426 1E 112X79X44 WH,112,44,79,1032458,72,1E
PAPERBOX 1E 0426 113X100X77 P,113,77,100,9503414,30,1E
PAPERBOX 0427 1E 114X95X27,114,27,95,1875862,,1E
PAPERBOX 1E 0426 114X57X61 P,114,61,57,9500491,69,1E
PAPERBOX 1E 0426 114X83X61 P,114,61,83,9500501,48,1E
FALTSCH. 114X 83X 61 BLANK,114,61,83,9035477,48,keine
